Recommended by | Books | Recommendation Count
-- | -- | --
Elon Mask- Mark Zuckerberg-Rupert Murdoch | "Zero to One: Notes on Startups, or How to Build the Future" by Peter Thiel | 3
Larry Page-Mark Zuckerberg- Michael Dell | "The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers" by Ben Horowitz | 3
Sergey Brin-Larry Page | "Surely You're Joking, Mr. Feynman! (Adventures of a Curious Character)"  by Richard P. Feynman | 2
Sergey Brin-Larry Page | "Snow Crash"  by Neal Stephenson | 2
Rupert Murdoch-Mark Zuckerberg | "The Rational Optimist" by Matt Ridley | 2
Michael Bloomberg- Elon Mask | "The New Digital Age: Transforming Nations, Businesses, and Our Lives" by Eric Schmidt, Jonathan Rosenberg | 2
Michael Bloomberg- RayDalio | "Principles: Life and Work" by Ray Dalio | 2
Mark Zuckerberg- Ray Dalio | "Sapiens: A Brief History of Humankind" by Yuval Noah Harari | 2
Warren Buffet- Micahel Dell | "Business Adventures: Twelve Classic Tales From the World of Wall Street" by John Brooks | 2
Larry Ellison- Mark Zuckerberg | "High Output Management" by Andrew S. Grove | 2
Stephen Schwarzman-Markzucherburg | "World Order" by Henry Kissinger | 2
Warren Buffet-Michael Dale | "The Outsiders" by William Thorndike Jr. | 2
Jeff Bezos | "The Remains of the Day" by Kazuo Ishiguro | 1
Bill Gates | "The Future of Capitalism'' by Paul Collier | 1
Warren Buffet | "The Intelligent Investor" by Benjamin Graham | 1
Carlos Slim Helu | "Mr. Baruch" by Margaret L. Coit | 1
Larry Ellison | "Napoleon" by Vincent Cronin | 1
Mark Zuckerberg | "The Muqaddimah" by Ibn Khaldun | 1
Michael Bloomberg | "The Honourable Schoolboy: A George Smiley Novel"  by John le Carre | 1
Larry Page | “My Inventions: The Autobiography of Nikola Tesla” by Nikola Tesla | 1
Charles Koch | "Frames of Mind: The Theory of Multiple Intelligences" by Howard Gardner | 1
David Koch | "Kochie's 11-Step Money Plan For a Better Life" by David Koch | 1
Mukesh Ambani | "Leonardo da Vinci" by Walter Isaacson | 1
Francoise Bettencourt Meyers | "regard sur la Bible ; mieux se comprendre entre juifs et catholiques" by Francoise Bettencourt Meyers | 1
Ma Huateng | "Ma Huateng & Tencent: A Business and Life Biography (China’s Entrepreneurs)" by Leng Hu | 1
Jack Ma | Never Give Up: Jack Ma In His Own Words (In Their Own Words)by Jack Ma, Suk Lee | 1
Michael Dell | "Bold: How to Go Big, Create Wealth and Impact the World" by Peter H. Diamandis, Steven Kotler | 1
Phil Knight | "Imagine It Forward: Courage, Creativity, and the Power of Change" by Beth Comstock, Tahl Raz | 1
Wang Jianlin | "The Wanda Way: The Managerial Philosophy And Values Of One Of China’s Largest Companies" by Jianlin Wang | 1
Elon Mask | "Einstein: His Life and Universe"  by Walter Isaacson | 1
Tadashi Yanai | "Yanai Tadashi No Kibo O Moto" by Tadashi Yanai | 1
Masayoshi Son | "Reimagining Japan : The Quest for a Future That Works" by Masayoshi Son | 1
Vagit Alekperov | "Oil of Russia: Past, Present & Future" by Vagit Alekperov | 1
Rupert Murdoch | "Civilization"  by Niall Ferguson | 1
Ray Dalio | "Mastering the Market Cycle: Getting the Odds on Your Side"  By Howard Marks | 1
Stefan Quandt | "Deutsche Und Europaeische Sicherheits- Und Verteidigungspolitik: Sammelband Zur Vortragsreihe Des Studentischen Konvents an Der Helmut-Schmidt-Universitaet-Universitaet Der Bundeswehr Hamburg" by Alexander Schroder and Stefan Quandt | 1
Carl Icahn | "Capital in the Twenty-First Century" by Thomas Piketty | 1
Lui Che Woo | "Lui Che-woo: Creating Value: The Journey of a Self-Made Billionaire: The Authorized Biography" by Lui Che-woo, Bi Yajun | 1
Emmanuel Besnier | "Le New Age " by Renaud Marhic , Emmanuel Besnier | 1
Hasso Plattner | "In-Memory Data Management : An Inflection Point for Enterprise Applications" by Hasso Plattner and Alexander Zeier | 1
Stephen Schwarzman | "The Prince" by Machiavelli | 1
Steve Cohen | "Win the Crowd: Unlock the Secrets of Influence, Charisma, and Showmanship" by Steve Cohen | 1
Jeff Bezos | "Built to Last: Successful Habits of Visionary Companies" by Jim Collins | 1
Bill Gates | "Presidents of War"  by Michael Beschloss` | 1
Warren Buffet | "Security Analysis" by Benjamin Graham and David L. Dodd | 1
Carlos Slim Helu | "Ling: The Rise, Fall and Return of a Texas Titan" by Stanley H. Brown | 1
Larry Ellison | "The Story of my Life" by Clarence Darrow | 1
Mark Zuckerberg | "The New Jim Crow" by Michelle Alexander | 1
Michael Bloomberg | "How Will You Measure Your Life?"  by Clayton M. Christensen | 1
Charles Koch | "Why Wages Rise" by F. A. Harper | 1
David Koch | "Kochie's Best Jokes"  by David Koch | 1
Mukesh Ambani | "Origins" by Dan Brown | 1
Jack Ma | " Tao Te Ching" by Lao Tzu | 1
Michael Dell | "Big Bang Disruption: Strategy in the Age of Devastating Inovation" by Larry Downes, Paul Nunes | 1
Phil Knight | "Shoe Dog: A Memoir by the Creator of Nike" by Phil Knight | 1
Elon Mask | "Structures: Or Why Things Don't Fall Down"  by J.E. Gordon | 1
Tadashi Yanai | "One win nine losses" by Tadashi Yanai | 1
Masayoshi Son | "Notebook: You Have The Same Amount Of Hours In A Day As Masayoshi Son" by Masayoshi Son | 1
Ray Dalio | "Super Mind: How to Boost Performance and Live a Richer and Happier Life Through Transcendental Meditation"  by Norman E. Rosenthal | 1
Carl Icahn | "Hopping over the Rabbit Hole: How Entrepreneurs Turn Failure into Success" by Anthony Scaramucci | 1
Hasso Plattner | "In-Memory Data Management : Technology and Applications"  by Alexander Zeier and Hasso Plattner | 1
Steve Cohen | "Lou Tannen's No. 12 Catalog of Magic" by Louis Tannen | 1
Jeff Bezos | “Creation: Life and How to Make It”  by Steve Grand | 1
Bill Gates | "A Gentleman in Moscow" by Amor Towles | 1
Warren Buffet | "Common Stocks and Uncommon Profits" by Philip Fisher | 1
Carlos Slim Helu | "Vesco" bu Robert A. Hutchison | 1
Larry Ellison | "The Age of Napoleon" by Will & Ariel Durant | 1
Mark Zuckerberg | "Why Nations Fail" by Daron Acemoglu and James A Robinson | 1
Larry Page | “What Do You Care What Other People Think?”  by Richard P. Feynman | 1
